withdrawal_id,complaint_id,account_id,atm_id,amount,withdrawn_at
WD-000033,CMP-000035,ACC-000019,ATM-00393,2549.78,2026-06-16 12:34:47
WD-000034,CMP-000036,ACC-000211,ATM-00335,146939.25,2026-06-01 03:39:45
WD-000035,CMP-000037,ACC-000076,ATM-00129,5998.86,2026-07-05 08:08:35
WD-000037,CMP-000039,ACC-000022,ATM-00011,429.73,2026-08-11 01:48:53
WD-000038,CMP-000040,ACC-000599,ATM-00041,2642.91,2026-08-14 19:11:36
WD-000040,CMP-000042,ACC-000186,ATM-00017,2578.67,2026-06-21 20:34:44
WD-000042,CMP-000044,ACC-000065,ATM-00203,4998.24,2026-07-13 17:51:49
WD-000043,CMP-000045,ACC-000024,ATM-00044,12111.49,2026-06-07 06:08:28
WD-000044,CMP-000046,ACC-000181,ATM-00002,3414.04,2026-06-22 10:57:37
WD-000045,CMP-000047,ACC-000124,ATM-00009,104129.3,2026-06-07 07:21:26
WD-000046,CMP-000048,ACC-000149,ATM-00035,1760.18,2026-06-24 11:21:15
WD-000047,CMP-000049,ACC-000235,ATM-00275,3107.06,2026-08-10 11:52:49
WD-000049,CMP-000051,ACC-000161,ATM-00387,4394.95,2026-08-04 08:37:39
WD-000050,CMP-000052,ACC-000143,ATM-00030,1054.9,2026-08-10 22:26:35
WD-000051,CMP-000053,ACC-001145,ATM-00176,1377.66,2026-06-07 03:42:39
WD-000052,CMP-000054,ACC-000105,ATM-00007,2104.66,2026-06-25 11:35:52
WD-000053,CMP-000055,ACC-000100,ATM-00043,39276.52,2026-06-18 19:50:41
WD-000054,CMP-000056,ACC-000078,ATM-00039,3581.86,2026-07-14 05:45:10
WD-000058,CMP-000061,ACC-000172,ATM-00224,3121.36,2026-08-15 20:41:24
WD-000059,CMP-000062,ACC-000086,ATM-00004,5349.72,2026-08-10 14:00:14
WD-000060,CMP-000063,ACC-000026,ATM-00042,2616.31,2026-06-15 06:04:21
WD-000061,CMP-000064,ACC-000098,ATM-00052,770.92,2026-08-11 17:11:54
WD-000062,CMP-000065,ACC-000066,ATM-00187,1530708.46,2026-07-28 01:04:44
WD-000063,CMP-000068,ACC-001072,ATM-00200,1748.45,2026-08-23 18:19:03
WD-000065,CMP-000070,ACC-000138,ATM-00028,4120.3,2026-08-04 01:21:01
WD-000066,CMP-000071,ACC-000829,ATM-00034,27960.02,2026-06-21 11:36:30
WD-000069,CMP-000074,ACC-000175,ATM-00300,9097.47,2026-07-25 21:25:12
WD-000070,CMP-000075,ACC-000149,ATM-00303,3143.17,2026-06-26 19:31:30
WD-000071,CMP-000076,ACC-000578,ATM-00024,5825.3,2026-06-24 21:47:14
WD-000072,CMP-000077,ACC-000064,ATM-00054,814.72,2026-08-08 07:46:12
WD-000074,CMP-000079,ACC-000107,ATM-00066,73670.78,2026-08-05 02:10:39
WD-000076,CMP-000081,ACC-000040,ATM-00056,2808.84,2026-07-28 15:02:20
WD-000077,CMP-000082,ACC-000106,ATM-00017,4112.31,2026-08-23 06:10:39
WD-000078,CMP-000083,ACC-000044,ATM-00289,8898.68,2026-08-22 14:05:28
WD-000080,CMP-000085,ACC-000199,ATM-00190,28252.68,2026-06-26 06:37:36
WD-000081,CMP-000086,ACC-000996,ATM-00071,6083.26,2026-07-25 14:04:15
WD-000082,CMP-000087,ACC-000112,ATM-00019,14007.95,2026-08-27 21:28:58
WD-000083,CMP-000088,ACC-000151,ATM-00021,1273.96,2026-07-24 20:38:12
WD-000084,CMP-000089,ACC-000033,ATM-00027,1167.9,2026-08-27 14:28:19
WD-000085,CMP-000090,ACC-000106,ATM-00052,18817.65,2026-07-05 18:50:21
WD-000087,CMP-000092,ACC-000171,ATM-00228,12407.39,2026-08-13 03:32:57
WD-000088,CMP-000094,ACC-000207,ATM-00287,117775.0,2026-06-03 13:28:23
WD-000089,CMP-000096,ACC-000168,ATM-00056,95612.31,2026-08-18 20:58:10
WD-000090,CMP-000097,ACC-000159,ATM-00248,4872.07,2026-07-08 02:21:36
WD-000091,CMP-000098,ACC-000182,ATM-00072,3028.99,2026-08-19 18:55:52
WD-000095,CMP-000102,ACC-000011,ATM-00159,6744.55,2026-07-23 05:11:23
WD-000096,CMP-000103,ACC-000216,ATM-00239,2993.66,2026-06-26 05:43:55
WD-000097,CMP-000105,ACC-000186,ATM-00051,7760.94,2026-08-16 14:38:49
WD-000098,CMP-000106,ACC-000004,ATM-00067,4704.96,2026-07-07 21:19:01
WD-000099,CMP-000107,ACC-000169,ATM-00031,755.66,2026-07-13 23:31:15
WD-000101,CMP-000111,ACC-000155,ATM-00199,2479.05,2026-06-12 19:57:16
WD-000103,CMP-000113,ACC-000093,ATM-00319,59806.15,2026-06-19 11:28:47
WD-000104,CMP-000115,ACC-000462,ATM-00044,2222.64,2026-07-10 18:22:25
WD-000105,CMP-000116,ACC-000169,ATM-00043,2840.39,2026-07-10 05:45:31
WD-000106,CMP-000117,ACC-000020,ATM-00064,409.56,2026-07-14 00:22:33
WD-000108,CMP-000119,ACC-000671,ATM-00318,401714.93,2026-06-28 13:07:48
WD-000109,CMP-000120,ACC-000215,ATM-00010,797.42,2026-08-19 15:43:53
WD-000110,CMP-000121,ACC-000118,ATM-00040,5073.63,2026-08-18 11:31:27
WD-000111,CMP-000122,ACC-000207,ATM-00280,3237.74,2026-07-17 06:21:04
WD-000112,CMP-000123,ACC-000195,ATM-00058,36135.94,2026-08-24 04:08:43
WD-000114,CMP-000125,ACC-000126,ATM-00015,3159.09,2026-08-27 02:49:05
WD-000115,CMP-000126,ACC-001157,ATM-00017,264107.02,2026-07-12 11:24:56
WD-000116,CMP-000127,ACC-000157,ATM-00278,49408.43,2026-07-15 21:00:34
WD-000117,CMP-000128,ACC-000005,ATM-00009,6144.93,2026-07-15 10:54:23
WD-000119,CMP-000131,ACC-000113,ATM-00312,451056.4,2026-07-12 13:27:16
WD-000120,CMP-000132,ACC-000151,ATM-00038,1783.41,2026-08-11 15:36:45
WD-000122,CMP-000134,ACC-000205,ATM-00003,13223.23,2026-07-31 19:46:10
WD-000123,CMP-000135,ACC-000073,ATM-00331,15544.59,2026-06-24 06:18:22
WD-000124,CMP-000136,ACC-000998,ATM-00065,4039.41,2026-06-14 05:02:05
WD-000125,CMP-000137,ACC-000925,ATM-00054,1625.15,2026-06-22 05:28:34
WD-000126,CMP-000138,ACC-000051,ATM-00194,177.21,2026-07-11 11:25:51
WD-000127,CMP-000139,ACC-000989,ATM-00041,36511.01,2026-08-15 04:14:14
WD-000128,CMP-000140,ACC-000842,ATM-00259,801663.54,2026-08-14 12:56:16
WD-000129,CMP-000141,ACC-000085,ATM-00034,2781.25,2026-06-29 23:46:40
WD-000130,CMP-000142,ACC-000080,ATM-00346,12072.5,2026-07-12 01:58:25
WD-000131,CMP-000143,ACC-000167,ATM-00062,425946.76,2026-08-27 05:40:43
WD-000132,CMP-000144,ACC-000838,ATM-00232,1104.28,2026-06-03 19:54:57
WD-000133,CMP-000145,ACC-000682,ATM-00030,2205.2,2026-08-10 12:27:05
WD-000135,CMP-000148,ACC-000142,ATM-00059,4371.3,2026-06-13 06:34:33
WD-000137,CMP-000150,ACC-000010,ATM-00229,480.11,2026-07-07 18:27:17
WD-000138,CMP-000152,ACC-000096,ATM-00042,3209.59,2026-07-23 20:08:02
WD-000139,CMP-000154,ACC-000956,ATM-00011,44276.03,2026-08-13 15:09:50
WD-000140,CMP-000155,ACC-000011,ATM-00018,5755.95,2026-07-31 10:45:13
WD-000141,CMP-000156,ACC-000135,ATM-00030,1408.74,2026-07-25 13:18:15
WD-000142,CMP-000157,ACC-000950,ATM-00026,5570.49,2026-07-06 20:14:53
WD-000143,CMP-000158,ACC-000134,ATM-00059,2985.24,2026-06-12 10:36:15
WD-000144,CMP-000159,ACC-000152,ATM-00063,1719.52,2026-07-26 22:06:35
WD-000145,CMP-000160,ACC-000454,ATM-00169,4740.3,2026-07-07 15:36:30
WD-000146,CMP-000161,ACC-000167,ATM-00053,110089.58,2026-08-06 09:01:17
WD-000147,CMP-000162,ACC-000113,ATM-00046,1597.06,2026-06-30 09:48:54
WD-000148,CMP-000163,ACC-000206,ATM-00021,1536.07,2026-07-26 06:07:06
WD-000149,CMP-000164,ACC-000352,ATM-00269,7351.47,2026-07-06 15:59:21
WD-000151,CMP-000166,ACC-000108,ATM-00274,2495.13,2026-08-01 19:21:38
WD-000152,CMP-000167,ACC-000790,ATM-00267,3251.04,2026-06-18 01:34:07
WD-000153,CMP-000170,ACC-000149,ATM-00014,8009.36,2026-06-27 05:01:36
WD-000154,CMP-000171,ACC-000167,ATM-00040,18434.88,2026-06-28 04:32:35
WD-000156,CMP-000173,ACC-000004,ATM-00009,5775.7,2026-07-02 05:27:28
WD-000157,CMP-000174,ACC-000131,ATM-00105,4578.64,2026-07-04 02:58:37
WD-000158,CMP-000175,ACC-000866,ATM-00009,2278.12,2026-07-25 06:11:37
WD-000159,CMP-000177,ACC-000209,ATM-00009,10667.23,2026-06-24 16:40:07
WD-000160,CMP-000178,ACC-000154,ATM-00023,940.27,2026-08-17 11:51:03
WD-000161,CMP-000179,ACC-000080,ATM-00057,3766.49,2026-06-24 18:48:43
WD-000163,CMP-000181,ACC-000124,ATM-00028,14723.79,2026-07-05 12:07:16
WD-000165,CMP-000183,ACC-000058,ATM-00001,695.82,2026-08-14 06:04:01
WD-000166,CMP-000184,ACC-000995,ATM-00052,1301.68,2026-06-28 00:41:14
WD-000167,CMP-000185,ACC-000175,ATM-00208,16713.76,2026-06-28 00:29:53
WD-000168,CMP-000186,ACC-000136,ATM-00107,141252.99,2026-07-06 08:45:49
WD-000169,CMP-000187,ACC-000203,ATM-00054,2474.61,2026-06-27 19:56:30
WD-000170,CMP-000188,ACC-000152,ATM-00059,2515.24,2026-06-13 17:58:57
WD-000171,CMP-000189,ACC-000103,ATM-00060,135099.11,2026-06-02 14:01:13
WD-000172,CMP-000190,ACC-000311,ATM-00237,7595.29,2026-06-17 22:42:54
WD-000174,CMP-000192,ACC-000199,ATM-00012,8468.48,2026-08-01 07:02:41
WD-000175,CMP-000193,ACC-000137,ATM-00317,3505.5,2026-06-30 11:22:17
WD-000176,CMP-000194,ACC-000083,ATM-00070,2595.22,2026-07-11 21:44:08
WD-000177,CMP-000195,ACC-000957,ATM-00010,89959.45,2026-07-21 15:41:56
WD-000178,CMP-000197,ACC-000152,ATM-00032,34067.63,2026-07-28 22:26:42
WD-000179,CMP-000199,ACC-000082,ATM-00295,6224.86,2026-08-04 03:04:44
WD-000180,CMP-000200,ACC-000166,ATM-00058,20736.12,2026-06-16 08:26:50
WD-000181,CMP-000201,ACC-000352,ATM-00047,2012.21,2026-06-29 11:38:12
WD-000184,CMP-000204,ACC-000119,ATM-00043,8622.72,2026-06-18 20:49:19
WD-000185,CMP-000205,ACC-000766,ATM-00003,14824.59,2026-08-28 13:32:43
WD-000188,CMP-000208,ACC-000041,ATM-00301,13922.29,2026-07-10 10:36:46
WD-000191,CMP-000211,ACC-000081,ATM-00056,658.29,2026-08-21 07:49:41
WD-000192,CMP-000212,ACC-000172,ATM-00105,5639.67,2026-08-14 08:05:51
WD-000193,CMP-000213,ACC-001015,ATM-00038,1906.41,2026-08-13 04:28:26
WD-000194,CMP-000214,ACC-000196,ATM-00061,2014.81,2026-06-28 09:45:18
WD-000195,CMP-000215,ACC-000985,ATM-00048,6442.06,2026-07-19 01:34:38
WD-000196,CMP-000216,ACC-000102,ATM-00042,9673.31,2026-07-02 11:52:35
WD-000197,CMP-000217,ACC-000139,ATM-00008,791.33,2026-08-06 20:51:00
WD-000198,CMP-000218,ACC-000213,ATM-00013,2063.63,2026-08-14 09:14:46
WD-000199,CMP-000219,ACC-000094,ATM-00326,20742.58,2026-07-02 06:05:57
WD-000200,CMP-000220,ACC-000080,ATM-00014,431420.89,2026-08-20 01:24:34
WD-000201,CMP-000221,ACC-000087,ATM-00004,8832.19,2026-07-10 03:15:23
WD-000202,CMP-000222,ACC-000187,ATM-00026,4452.93,2026-07-19 03:44:35
WD-000204,CMP-000224,ACC-000037,ATM-00015,1131.19,2026-07-17 18:10:01
WD-000205,CMP-000225,ACC-000004,ATM-00011,39383.61,2026-06-24 07:28:48
WD-000206,CMP-000226,ACC-000099,ATM-00040,880.93,2026-07-10 20:11:49
WD-000207,CMP-000227,ACC-000122,ATM-00077,7833.7,2026-07-15 19:07:05
WD-000208,CMP-000228,ACC-000537,ATM-00009,6190.0,2026-08-09 16:19:24
WD-000209,CMP-000229,ACC-000002,ATM-00063,795098.76,2026-07-17 23:41:43
WD-000210,CMP-000230,ACC-000044,ATM-00025,563.07,2026-07-08 11:49:48
WD-000211,CMP-000231,ACC-000200,ATM-00046,8809.5,2026-06-14 09:55:38
WD-000212,CMP-000232,ACC-000204,ATM-00115,381.88,2026-07-11 17:51:21
WD-000213,CMP-000233,ACC-000070,ATM-00047,16310.39,2026-06-01 00:29:02
WD-000214,CMP-000234,ACC-001096,ATM-00062,3358.39,2026-08-04 10:11:24
WD-000216,CMP-000236,ACC-000238,ATM-00225,86067.19,2026-07-01 21:18:44
WD-000217,CMP-000237,ACC-000046,ATM-00024,3958.41,2026-07-08 06:24:36
WD-000220,CMP-000241,ACC-000111,ATM-00398,874.85,2026-07-26 13:32:12
WD-000221,CMP-000242,ACC-000342,ATM-00067,2771.34,2026-06-10 22:53:18
WD-000222,CMP-000243,ACC-001052,ATM-00065,5732.07,2026-07-10 16:29:57
WD-000223,CMP-000246,ACC-000609,ATM-00046,9459.02,2026-07-03 01:37:35
WD-000224,CMP-000247,ACC-000142,ATM-00287,1912.84,2026-07-01 23:34:14
WD-000225,CMP-000248,ACC-000154,ATM-00181,394.13,2026-07-24 01:37:43
WD-000226,CMP-000249,ACC-000031,ATM-00056,9048.39,2026-06-27 20:49:53
WD-000227,CMP-000250,ACC-001174,ATM-00162,67486.33,2026-06-10 06:02:20
WD-000228,CMP-000251,ACC-000038,ATM-00043,122199.51,2026-06-10 02:28:52
WD-000229,CMP-000253,ACC-000445,ATM-00008,2409.04,2026-07-13 02:14:10
WD-000230,CMP-000254,ACC-000063,ATM-00063,1257.06,2026-08-16 18:49:03
WD-000232,CMP-000256,ACC-000069,ATM-00062,1524.37,2026-06-15 05:04:06
WD-000233,CMP-000257,ACC-000024,ATM-00264,6820.71,2026-08-04 10:45:29
WD-000234,CMP-000258,ACC-000936,ATM-00031,53845.33,2026-08-04 19:27:40
WD-000235,CMP-000259,ACC-000119,ATM-00061,3084.5,2026-07-28 05:56:04
WD-000236,CMP-000261,ACC-000813,ATM-00381,91227.07,2026-07-08 19:19:36
WD-000237,CMP-000262,ACC-000060,ATM-00089,2287.22,2026-07-06 06:19:55
WD-000239,CMP-000264,ACC-000017,ATM-00055,14971.26,2026-08-06 16:34:19
WD-000240,CMP-000265,ACC-000050,ATM-00028,21321.71,2026-08-12 17:10:37
WD-000241,CMP-000267,ACC-000034,ATM-00013,1564.74,2026-06-22 14:42:39
WD-000242,CMP-000268,ACC-000116,ATM-00012,2007.03,2026-08-10 01:41:05
WD-000243,CMP-000269,ACC-000212,ATM-00005,117847.81,2026-06-10 17:35:18
WD-000244,CMP-000270,ACC-000711,ATM-00067,1534.31,2026-07-13 21:24:56
WD-000245,CMP-000271,ACC-000517,ATM-00066,2558.39,2026-08-28 02:26:47
WD-000246,CMP-000272,ACC-000076,ATM-00022,172616.0,2026-06-14 04:57:52
WD-000247,CMP-000273,ACC-000090,ATM-00306,3727.4,2026-07-19 11:47:35
WD-000248,CMP-000274,ACC-000029,ATM-00215,6955.88,2026-08-20 07:12:59
WD-000249,CMP-000276,ACC-000140,ATM-00046,3989.7,2026-06-08 21:16:12
WD-000250,CMP-000278,ACC-000138,ATM-00327,497.45,2026-08-22 06:20:38
WD-000251,CMP-000279,ACC-000098,ATM-00066,5790.06,2026-06-02 21:50:22
WD-000252,CMP-000280,ACC-001139,ATM-00016,5202.59,2026-08-12 21:02:48
WD-000253,CMP-000281,ACC-000044,ATM-00089,5639.17,2026-07-07 06:50:46
WD-000254,CMP-000282,ACC-000010,ATM-00037,1429.83,2026-08-26 00:40:35
WD-000255,CMP-000283,ACC-000154,ATM-00041,1193.44,2026-08-03 01:41:33
WD-000257,CMP-000285,ACC-000126,ATM-00038,5921.02,2026-06-04 23:18:01
WD-000259,CMP-000287,ACC-000183,ATM-00010,370.64,2026-08-12 15:38:19
WD-000260,CMP-000288,ACC-000081,ATM-00053,10010.96,2026-08-10 23:38:19
WD-000261,CMP-000289,ACC-000355,ATM-00044,6675.45,2026-07-18 12:24:28
WD-000264,CMP-000293,ACC-000058,ATM-00063,1352.3,2026-06-27 19:32:01
WD-000265,CMP-000294,ACC-000118,ATM-00183,1935.98,2026-07-14 22:49:41
WD-000267,CMP-000296,ACC-000038,ATM-00063,18364.99,2026-08-16 03:48:30
WD-000268,CMP-000297,ACC-000009,ATM-00235,2130.95,2026-06-20 20:01:17
WD-000269,CMP-000298,ACC-000122,ATM-00062,29622.85,2026-08-15 14:07:10
WD-000272,CMP-000302,ACC-000304,ATM-00041,6487.77,2026-07-28 01:13:36
WD-000273,CMP-000303,ACC-000851,ATM-00056,5726.74,2026-08-12 08:00:30
WD-000274,CMP-000304,ACC-000025,ATM-00127,2848.95,2026-07-14 11:55:25
WD-000275,CMP-000305,ACC-001016,ATM-00032,1317.67,2026-07-19 17:05:57
WD-000276,CMP-000306,ACC-000191,ATM-00286,2407.4,2026-08-28 10:57:29
WD-000277,CMP-000307,ACC-000163,ATM-00026,11397.24,2026-06-01 09:51:34
WD-000278,CMP-000308,ACC-000096,ATM-00181,5501.12,2026-08-06 14:31:58
WD-000279,CMP-000309,ACC-000309,ATM-00370,49158.41,2026-08-27 08:34:24
WD-000280,CMP-000310,ACC-001000,ATM-00292,3229.96,2026-06-28 04:44:01
WD-000281,CMP-000311,ACC-000036,ATM-00020,6468.05,2026-07-08 04:30:29
WD-000284,CMP-000314,ACC-000213,ATM-00328,59245.22,2026-06-22 03:35:36
WD-000285,CMP-000315,ACC-000027,ATM-00015,2170.83,2026-08-20 14:30:35
WD-000286,CMP-000316,ACC-000010,ATM-00009,9475.4,2026-07-12 11:31:07
WD-000287,CMP-000317,ACC-000763,ATM-00067,6011.17,2026-08-05 21:13:32
WD-000290,CMP-000320,ACC-000058,ATM-00032,1018.8,2026-07-01 23:44:02
WD-000291,CMP-000321,ACC-000429,ATM-00047,8607.07,2026-08-12 22:35:56
WD-000292,CMP-000323,ACC-000023,ATM-00017,764.98,2026-07-23 20:31:27
WD-000293,CMP-000324,ACC-000125,ATM-00056,2922.71,2026-08-22 05:06:00
WD-000294,CMP-000325,ACC-000022,ATM-00358,116918.06,2026-08-14 06:19:11
WD-000295,CMP-000326,ACC-000148,ATM-00006,3190.38,2026-07-25 14:28:17
WD-000296,CMP-000327,ACC-000155,ATM-00141,89267.4,2026-07-31 19:31:03
WD-000297,CMP-000328,ACC-000018,ATM-00003,5432.19,2026-08-06 07:28:05
WD-000298,CMP-000329,ACC-000110,ATM-00057,1684.53,2026-07-01 05:02:59
WD-000299,CMP-000330,ACC-000141,ATM-00020,3463.6,2026-06-15 05:35:36
WD-000300,CMP-000331,ACC-000042,ATM-00050,12748.51,2026-08-02 05:59:27
WD-000301,CMP-000332,ACC-000203,ATM-00009,9634.73,2026-07-07 21:41:11
WD-000305,CMP-000337,ACC-000513,ATM-00065,2934.33,2026-08-12 10:21:06
WD-000306,CMP-000338,ACC-000171,ATM-00033,2150.7,2026-08-06 07:48:20
WD-000307,CMP-000339,ACC-000130,ATM-00044,3253.12,2026-06-05 20:57:00
WD-000309,CMP-000341,ACC-000126,ATM-00050,2026.07,2026-06-25 23:36:24
WD-000310,CMP-000342,ACC-000176,ATM-00035,13762.55,2026-07-12 14:47:44
WD-000312,CMP-000344,ACC-000653,ATM-00115,13769.46,2026-07-09 15:07:58
WD-000313,CMP-000345,ACC-000076,ATM-00007,2720.69,2026-06-08 17:00:58
WD-000314,CMP-000346,ACC-000123,ATM-00024,7300.78,2026-08-09 07:36:56
WD-000315,CMP-000347,ACC-000067,ATM-00031,1446.57,2026-07-02 23:53:04
WD-000316,CMP-000350,ACC-000096,ATM-00021,1405.73,2026-07-10 04:01:32
WD-000317,CMP-000351,ACC-000803,ATM-00011,3322.83,2026-07-03 07:56:59
WD-000318,CMP-000352,ACC-000446,ATM-00041,2788.04,2026-08-01 07:04:37
WD-000319,CMP-000353,ACC-000299,ATM-00306,18990.95,2026-07-05 08:36:00
WD-000321,CMP-000356,ACC-000115,ATM-00036,1455.17,2026-06-08 09:56:21
WD-000323,CMP-000358,ACC-000198,ATM-00040,21692.68,2026-08-25 12:56:16
WD-000324,CMP-000359,ACC-000106,ATM-00036,692.23,2026-08-24 13:08:04
WD-000325,CMP-000360,ACC-000371,ATM-00026,4010.23,2026-07-16 19:29:07
WD-000326,CMP-000361,ACC-000201,ATM-00183,4503.12,2026-06-06 22:34:49
WD-000327,CMP-000362,ACC-000197,ATM-00007,1798.98,2026-06-04 20:11:40
WD-000328,CMP-000363,ACC-000172,ATM-00243,90260.05,2026-08-24 02:04:18
WD-000329,CMP-000364,ACC-000202,ATM-00010,7705.95,2026-07-08 16:55:20
WD-000330,CMP-000365,ACC-000668,ATM-00049,10526.63,2026-08-26 21:04:51
WD-000331,CMP-000367,ACC-000184,ATM-00014,3724.26,2026-06-16 00:00:54
WD-000332,CMP-000368,ACC-000429,ATM-00068,10969.83,2026-08-21 09:41:24
WD-000338,CMP-000374,ACC-000148,ATM-00059,4941.03,2026-08-22 18:11:11
WD-000339,CMP-000376,ACC-000043,ATM-00052,3866.93,2026-07-04 23:04:41
WD-000340,CMP-000377,ACC-000194,ATM-00048,4239.78,2026-06-13 22:50:20
WD-000341,CMP-000379,ACC-000825,ATM-00057,1330.95,2026-06-13 08:50:27
WD-000342,CMP-000380,ACC-000015,ATM-00004,83240.75,2026-08-06 14:37:05
WD-000344,CMP-000382,ACC-000177,ATM-00304,5448.41,2026-06-21 17:18:54
WD-000345,CMP-000383,ACC-000151,ATM-00005,90020.63,2026-06-14 13:13:01
WD-000346,CMP-000384,ACC-000046,ATM-00040,1671.39,2026-07-20 17:11:33
WD-000347,CMP-000385,ACC-000027,ATM-00172,61826.01,2026-06-05 07:57:04
WD-000348,CMP-000386,ACC-000059,ATM-00022,4772.75,2026-07-29 07:10:18
WD-000349,CMP-000387,ACC-000478,ATM-00045,6780.69,2026-08-14 23:16:17
WD-000350,CMP-000389,ACC-000102,ATM-00064,11260.12,2026-06-23 01:12:55
WD-000351,CMP-000390,ACC-000163,ATM-00011,4143.84,2026-08-16 06:36:49
WD-000352,CMP-000391,ACC-000474,ATM-00020,1622.29,2026-08-18 17:30:36
WD-000353,CMP-000394,ACC-001169,ATM-00050,35464.28,2026-07-19 20:54:51
WD-000354,CMP-000396,ACC-000861,ATM-00238,1082.87,2026-06-06 07:25:27
WD-000355,CMP-000397,ACC-001156,ATM-00005,1423.57,2026-06-11 10:24:41
WD-000356,CMP-000398,ACC-000191,ATM-00015,2218.5,2026-06-08 18:48:23
WD-000357,CMP-000399,ACC-000565,ATM-00112,1117.04,2026-06-11 06:58:38
WD-000358,CMP-000400,ACC-000104,ATM-00229,3966.02,2026-08-19 08:19:59
WD-000360,CMP-000402,ACC-000123,ATM-00135,2516.3,2026-06-09 00:59:52
WD-000361,CMP-000403,ACC-000050,ATM-00060,27429.44,2026-08-21 15:10:56
WD-000362,CMP-000404,ACC-000191,ATM-00021,7745.63,2026-06-04 18:02:22
WD-000363,CMP-000405,ACC-000848,ATM-00024,49753.74,2026-06-13 04:26:25
WD-000364,CMP-000406,ACC-000075,ATM-00051,2330.56,2026-08-26 10:12:03
WD-000365,CMP-000407,ACC-000177,ATM-00008,4812.51,2026-07-24 09:19:35
WD-000367,CMP-000409,ACC-000009,ATM-00139,4961.42,2026-07-11 23:41:03
WD-000369,CMP-000411,ACC-000105,ATM-00047,5242.54,2026-07-21 01:36:20
WD-000370,CMP-000412,ACC-000389,ATM-00015,104968.61,2026-06-01 12:33:42
WD-000371,CMP-000413,ACC-000039,ATM-00019,3908.77,2026-08-04 09:00:02
WD-000372,CMP-000414,ACC-000200,ATM-00013,10314.56,2026-07-21 16:39:02
WD-000373,CMP-000415,ACC-000188,ATM-00004,242792.04,2026-06-03 09:33:08
WD-000374,CMP-000416,ACC-000073,ATM-00040,4032.82,2026-07-07 10:56:51
WD-000375,CMP-000417,ACC-000148,ATM-00004,3861.24,2026-07-04 14:02:52
WD-000376,CMP-000418,ACC-000210,ATM-00003,2194.5,2026-07-27 21:23:46
WD-000377,CMP-000419,ACC-000416,ATM-00055,1041.76,2026-07-23 11:28:39
WD-000378,CMP-000420,ACC-000117,ATM-00323,1702.41,2026-08-06 05:12:33
WD-000379,CMP-000421,ACC-000182,ATM-00040,94602.46,2026-08-18 21:31:11
WD-000380,CMP-000422,ACC-000201,ATM-00001,292220.59,2026-06-05 03:37:06
WD-000382,CMP-000424,ACC-000020,ATM-00007,1970.03,2026-08-19 06:38:37
WD-000384,CMP-000426,ACC-000039,ATM-00029,10809.51,2026-08-03 18:49:05
WD-000385,CMP-000427,ACC-000145,ATM-00065,2138.43,2026-08-26 14:14:49
WD-000386,CMP-000428,ACC-000208,ATM-00064,18868.29,2026-07-03 23:58:33
WD-000387,CMP-000429,ACC-000093,ATM-00191,13539.43,2026-08-17 09:33:20
WD-000390,CMP-000432,ACC-000175,ATM-00265,1724.63,2026-06-29 19:20:01
WD-000391,CMP-000433,ACC-000171,ATM-00016,1720064.01,2026-07-14 06:40:53
WD-000394,CMP-000436,ACC-000175,ATM-00037,1731.58,2026-07-06 07:22:34
