transaction_id,complaint_id,from_account_id,to_account_id,amount,timestamp,hop_number
TXN-0000034,CMP-000013,ACC-000064,ACC-001037,43750.31,2026-08-23 01:54:53,2
TXN-0000035,CMP-000013,ACC-001037,ACC-000140,41586.28,2026-08-23 02:54:53,3
TXN-0000036,CMP-000013,ACC-000140,ACC-000012,39495.04,2026-08-23 07:46:53,4
TXN-0000037,CMP-000014,ACC-001006,ACC-000918,1028.85,2026-08-01 10:38:19,1
TXN-0000038,CMP-000014,ACC-000918,ACC-000066,1011.1,2026-08-01 10:45:19,2
TXN-0000039,CMP-000014,ACC-000066,ACC-000830,985.44,2026-08-01 13:45:19,3
TXN-0000040,CMP-000014,ACC-000830,ACC-000115,966.12,2026-08-01 18:31:19,4
TXN-0000041,CMP-000015,ACC-000555,ACC-000213,1671.94,2026-08-04 23:35:40,1
TXN-0000042,CMP-000017,ACC-000686,ACC-000211,8402.81,2026-06-24 18:56:26,1
TXN-0000043,CMP-000017,ACC-000211,ACC-000136,8203.08,2026-06-24 21:27:26,2
TXN-0000044,CMP-000017,ACC-000136,ACC-000171,7957.2,2026-06-25 01:23:26,3
TXN-0000045,CMP-000018,ACC-001113,ACC-000005,1644.64,2026-08-01 20:41:39,1
TXN-0000046,CMP-000018,ACC-000005,ACC-000191,1579.0,2026-08-01 23:58:39,2
TXN-0000047,CMP-000019,ACC-000376,ACC-001064,964.78,2026-08-14 14:24:25,1
TXN-0000048,CMP-000019,ACC-001064,ACC-000682,918.41,2026-08-14 18:56:25,2
TXN-0000049,CMP-000019,ACC-000682,ACC-000189,895.31,2026-08-14 23:57:25,3
TXN-0000050,CMP-000020,ACC-000630,ACC-000201,487.98,2026-07-01 16:51:55,1
TXN-0000051,CMP-000020,ACC-000201,ACC-000188,482.24,2026-07-01 18:35:55,2
TXN-0000052,CMP-000020,ACC-000188,ACC-000289,450.09,2026-07-01 20:14:55,3
TXN-0000053,CMP-000021,ACC-000453,ACC-001186,3414.57,2026-07-25 15:18:19,1
TXN-0000054,CMP-000022,ACC-000348,ACC-000025,3385.78,2026-07-09 06:19:20,1
TXN-0000055,CMP-000022,ACC-000025,ACC-000064,3292.5,2026-07-09 09:02:20,2
TXN-0000056,CMP-000023,ACC-000697,ACC-000039,1544.62,2026-06-14 18:13:08,1
TXN-0000057,CMP-000023,ACC-000039,ACC-000069,1436.03,2026-06-14 23:05:08,2
TXN-0000058,CMP-000024,ACC-001121,ACC-001018,3121.38,2026-07-27 16:53:14,1
TXN-0000059,CMP-000024,ACC-001018,ACC-000999,3004.95,2026-07-27 19:52:14,2
TXN-0000060,CMP-000024,ACC-000999,ACC-000206,2943.13,2026-07-27 21:12:14,3
TXN-0000061,CMP-000024,ACC-000206,ACC-000207,2781.58,2026-07-28 03:03:14,4
TXN-0000062,CMP-000025,ACC-000304,ACC-000063,18110.23,2026-06-14 04:15:58,1
TXN-0000063,CMP-000025,ACC-000063,ACC-000915,16680.34,2026-06-14 08:26:58,2
TXN-0000064,CMP-000025,ACC-000915,ACC-000275,16130.57,2026-06-14 14:22:58,3
TXN-0000065,CMP-000026,ACC-000445,ACC-000002,566.22,2026-06-11 10:36:27,1
TXN-0000066,CMP-000026,ACC-000002,ACC-000812,542.38,2026-06-11 12:44:27,2
TXN-0000067,CMP-000027,ACC-000941,ACC-000578,1943.57,2026-07-28 21:13:37,1
TXN-0000068,CMP-000027,ACC-000578,ACC-000007,1788.22,2026-07-29 02:59:37,2
TXN-0000069,CMP-000028,ACC-000579,ACC-000169,8409.7,2026-07-21 20:52:08,1
TXN-0000070,CMP-000028,ACC-000169,ACC-000185,7784.73,2026-07-21 22:35:08,2
TXN-0000071,CMP-000028,ACC-000185,ACC-000262,7610.74,2026-07-21 22:53:08,3
TXN-0000072,CMP-000028,ACC-000262,ACC-000136,7201.76,2026-07-21 23:26:08,4
TXN-0000073,CMP-000029,ACC-000948,ACC-000144,15867.97,2026-08-06 03:29:06,1
TXN-0000074,CMP-000029,ACC-000144,ACC-000142,15557.0,2026-08-06 08:01:06,2
TXN-0000075,CMP-000029,ACC-000142,ACC-000125,15346.35,2026-08-06 13:34:06,3
TXN-0000076,CMP-000030,ACC-000438,ACC-000183,60835.03,2026-06-26 19:22:39,1
TXN-0000077,CMP-000030,ACC-000183,ACC-000036,57166.99,2026-06-26 20:50:39,2
TXN-0000078,CMP-000031,ACC-000788,ACC-000465,6935.65,2026-06-16 11:10:51,1
TXN-0000079,CMP-000031,ACC-000465,ACC-000171,6650.47,2026-06-16 12:02:51,2
TXN-0000080,CMP-000031,ACC-000171,ACC-000043,6455.94,2026-06-16 16:09:51,3
TXN-0000081,CMP-000033,ACC-000927,ACC-000099,3855.06,2026-07-20 06:10:50,1
TXN-0000082,CMP-000033,ACC-000099,ACC-000086,3728.71,2026-07-20 08:29:50,2
TXN-0000083,CMP-000033,ACC-000086,ACC-000137,3482.21,2026-07-20 12:26:50,3
TXN-0000084,CMP-000034,ACC-000756,ACC-000063,7444.66,2026-08-01 05:32:24,1
TXN-0000085,CMP-000034,ACC-000063,ACC-000127,7332.26,2026-08-01 09:34:24,2
TXN-0000086,CMP-000034,ACC-000127,ACC-000077,7093.69,2026-08-01 10:19:24,3
TXN-0000087,CMP-000035,ACC-000533,ACC-000190,2670.76,2026-06-16 07:16:47,1
TXN-0000088,CMP-000035,ACC-000190,ACC-000019,2549.78,2026-06-16 12:14:47,2
TXN-0000089,CMP-000036,ACC-000868,ACC-000033,151355.96,2026-06-01 01:57:45,1
TXN-0000090,CMP-000036,ACC-000033,ACC-000211,146939.25,2026-06-01 03:28:45,2
TXN-0000091,CMP-000037,ACC-000725,ACC-000156,6970.48,2026-07-05 02:18:35,1
TXN-0000092,CMP-000037,ACC-000156,ACC-000138,6898.3,2026-07-05 04:24:35,2
TXN-0000093,CMP-000037,ACC-000138,ACC-000153,6467.22,2026-07-05 05:21:35,3
TXN-0000094,CMP-000037,ACC-000153,ACC-000076,5998.86,2026-07-05 06:38:35,4
TXN-0000095,CMP-000038,ACC-001001,ACC-000050,56114.44,2026-06-05 15:12:31,1
TXN-0000096,CMP-000038,ACC-000050,ACC-000043,55137.97,2026-06-05 20:18:31,2
TXN-0000097,CMP-000039,ACC-000993,ACC-000029,450.27,2026-08-10 18:10:53,1
TXN-0000098,CMP-000039,ACC-000029,ACC-000022,429.73,2026-08-11 00:06:53,2
TXN-0000099,CMP-000040,ACC-000374,ACC-000021,3087.69,2026-08-14 06:26:36,1
TXN-0000100,CMP-000040,ACC-000021,ACC-000968,2958.15,2026-08-14 09:14:36,2
TXN-0000101,CMP-000040,ACC-000968,ACC-000006,2768.9,2026-08-14 13:09:36,3
TXN-0000102,CMP-000040,ACC-000006,ACC-000599,2642.91,2026-08-14 18:15:36,4
TXN-0000103,CMP-000041,ACC-001078,ACC-000115,2083.75,2026-06-17 03:52:49,1
TXN-0000104,CMP-000041,ACC-000115,ACC-000517,1951.47,2026-06-17 07:24:49,2
TXN-0000105,CMP-000041,ACC-000517,ACC-000035,1815.37,2026-06-17 07:36:49,3
TXN-0000106,CMP-000041,ACC-000035,ACC-000102,1717.94,2026-06-17 08:54:49,4
TXN-0000107,CMP-000042,ACC-000429,ACC-000084,2766.81,2026-06-21 10:04:44,1
TXN-0000108,CMP-000042,ACC-000084,ACC-000027,2616.36,2026-06-21 13:00:44,2
TXN-0000109,CMP-000042,ACC-000027,ACC-000186,2578.67,2026-06-21 18:56:44,3
TXN-0000110,CMP-000043,ACC-000910,ACC-000683,623685.16,2026-08-09 07:49:53,1
TXN-0000111,CMP-000043,ACC-000683,ACC-000103,591163.18,2026-08-09 11:47:53,2
TXN-0000112,CMP-000044,ACC-000223,ACC-000026,5215.89,2026-07-13 15:39:49,1
TXN-0000113,CMP-000044,ACC-000026,ACC-000065,4998.24,2026-07-13 15:52:49,2
TXN-0000114,CMP-000045,ACC-001026,ACC-000024,12111.49,2026-06-07 04:31:28,1
TXN-0000115,CMP-000046,ACC-000341,ACC-000030,3770.69,2026-06-22 03:27:37,1
TXN-0000116,CMP-000046,ACC-000030,ACC-000340,3692.37,2026-06-22 08:44:37,2
TXN-0000117,CMP-000046,ACC-000340,ACC-000181,3414.04,2026-06-22 09:32:37,3
TXN-0000118,CMP-000047,ACC-000880,ACC-000801,110191.41,2026-06-07 04:43:26,1
TXN-0000119,CMP-000047,ACC-000801,ACC-000124,104129.3,2026-06-07 06:19:26,2
TXN-0000120,CMP-000048,ACC-000862,ACC-000027,1806.02,2026-06-24 04:54:15,1
TXN-0000121,CMP-000048,ACC-000027,ACC-000149,1760.18,2026-06-24 10:13:15,2
TXN-0000122,CMP-000049,ACC-000581,ACC-000199,3254.13,2026-08-10 09:44:49,1
TXN-0000123,CMP-000049,ACC-000199,ACC-000235,3107.06,2026-08-10 11:07:49,2
TXN-0000124,CMP-000050,ACC-000469,ACC-000203,8230.81,2026-08-16 03:43:56,1
TXN-0000125,CMP-000050,ACC-000203,ACC-000153,7874.47,2026-08-16 07:12:56,2
TXN-0000126,CMP-000050,ACC-000153,ACC-000153,7589.13,2026-08-16 09:18:56,3
TXN-0000127,CMP-000051,ACC-000428,ACC-000822,4888.65,2026-08-03 23:29:39,1
TXN-0000128,CMP-000051,ACC-000822,ACC-000083,4732.18,2026-08-04 04:25:39,2
TXN-0000129,CMP-000051,ACC-000083,ACC-000161,4394.95,2026-08-04 06:53:39,3
TXN-0000130,CMP-000052,ACC-000504,ACC-000214,1113.25,2026-08-10 20:42:35,1
TXN-0000131,CMP-000052,ACC-000214,ACC-000143,1054.9,2026-08-10 21:58:35,2
TXN-0000132,CMP-000053,ACC-000656,ACC-001185,1454.15,2026-06-07 00:30:39,1
TXN-0000133,CMP-000053,ACC-001185,ACC-001145,1377.66,2026-06-07 02:28:39,2
TXN-0000134,CMP-000054,ACC-001127,ACC-000157,2433.33,2026-06-24 21:36:52,1
TXN-0000135,CMP-000054,ACC-000157,ACC-000112,2354.58,2026-06-25 00:28:52,2
TXN-0000136,CMP-000054,ACC-000112,ACC-000096,2221.9,2026-06-25 04:40:52,3
TXN-0000137,CMP-000054,ACC-000096,ACC-000105,2104.66,2026-06-25 09:39:52,4
TXN-0000138,CMP-000055,ACC-000735,ACC-000065,42349.63,2026-06-18 14:58:41,1
TXN-0000139,CMP-000055,ACC-000065,ACC-000100,39276.52,2026-06-18 18:23:41,2
TXN-0000140,CMP-000056,ACC-001020,ACC-000806,3681.56,2026-07-13 23:19:10,1
TXN-0000141,CMP-000056,ACC-000806,ACC-000078,3581.86,2026-07-14 05:12:10,2
TXN-0000142,CMP-000057,ACC-000856,ACC-000210,635.47,2026-08-03 07:43:03,1
TXN-0000143,CMP-000057,ACC-000210,ACC-000583,625.84,2026-08-03 08:45:03,2
TXN-0000144,CMP-000058,ACC-000714,ACC-000208,60715.94,2026-08-09 15:53:17,1
TXN-0000145,CMP-000059,ACC-001079,ACC-000175,2363.59,2026-06-21 15:34:38,1
TXN-0000146,CMP-000059,ACC-000175,ACC-000190,2228.73,2026-06-21 16:33:38,2
TXN-0000147,CMP-000061,ACC-001128,ACC-001134,3586.65,2026-08-15 13:54:24,1
TXN-0000148,CMP-000061,ACC-001134,ACC-000162,3406.73,2026-08-15 16:41:24,2
TXN-0000149,CMP-000061,ACC-000162,ACC-000128,3197.57,2026-08-15 18:02:24,3
TXN-0000150,CMP-000061,ACC-000128,ACC-000172,3121.36,2026-08-15 20:32:24,4
TXN-0000151,CMP-000062,ACC-001189,ACC-000018,5612.96,2026-08-10 11:44:14,1
TXN-0000152,CMP-000062,ACC-000018,ACC-000086,5349.72,2026-08-10 12:19:14,2
TXN-0000153,CMP-000063,ACC-000778,ACC-000026,2616.31,2026-06-15 05:08:21,1
TXN-0000154,CMP-000064,ACC-000789,ACC-000942,824.43,2026-08-11 05:03:54,1
TXN-0000155,CMP-000064,ACC-000942,ACC-000085,808.34,2026-08-11 10:06:54,2
TXN-0000156,CMP-000064,ACC-000085,ACC-000188,786.35,2026-08-11 14:46:54,3
TXN-0000157,CMP-000064,ACC-000188,ACC-000098,770.92,2026-08-11 16:01:54,4
TXN-0000158,CMP-000065,ACC-000340,ACC-000739,1630789.22,2026-07-27 18:49:44,1
TXN-0000159,CMP-000065,ACC-000739,ACC-000194,1610432.86,2026-07-27 21:36:44,2
TXN-0000160,CMP-000065,ACC-000194,ACC-001197,1550774.93,2026-07-27 23:12:44,3
TXN-0000161,CMP-000065,ACC-001197,ACC-000066,1530708.46,2026-07-28 00:17:44,4
TXN-0000162,CMP-000068,ACC-000693,ACC-001072,1748.45,2026-08-23 16:53:03,1
TXN-0000163,CMP-000069,ACC-000655,ACC-000910,3129.77,2026-06-24 21:40:24,1
TXN-0000164,CMP-000069,ACC-000910,ACC-000190,3072.86,2026-06-24 22:44:24,2
TXN-0000165,CMP-000069,ACC-000190,ACC-000795,2895.3,2026-06-25 00:35:24,3
TXN-0000166,CMP-000070,ACC-001109,ACC-000194,4377.58,2026-08-03 19:56:01,1
TXN-0000167,CMP-000070,ACC-000194,ACC-000138,4120.3,2026-08-04 00:27:01,2
TXN-0000168,CMP-000071,ACC-000325,ACC-000209,29847.61,2026-06-21 00:10:30,1
TXN-0000169,CMP-000071,ACC-000209,ACC-000290,28343.74,2026-06-21 05:41:30,2
TXN-0000170,CMP-000071,ACC-000290,ACC-000829,27960.02,2026-06-21 11:15:30,3
TXN-0000171,CMP-000072,ACC-001084,ACC-000302,2078.58,2026-06-13 08:17:06,1
TXN-0000172,CMP-000072,ACC-000302,ACC-000055,1988.8,2026-06-13 09:50:06,2
TXN-0000173,CMP-000072,ACC-000055,ACC-000035,1943.35,2026-06-13 11:03:06,3
TXN-0000174,CMP-000073,ACC-000717,ACC-000444,906.31,2026-08-12 20:45:52,1
TXN-0000175,CMP-000073,ACC-000444,ACC-000052,857.73,2026-08-12 20:54:52,2
TXN-0000176,CMP-000073,ACC-000052,ACC-000994,803.81,2026-08-12 23:13:52,3
TXN-0000177,CMP-000074,ACC-000413,ACC-000077,9412.2,2026-07-25 18:44:12,1
TXN-0000178,CMP-000074,ACC-000077,ACC-000175,9097.47,2026-07-25 20:19:12,2
TXN-0000179,CMP-000075,ACC-000708,ACC-000145,3376.73,2026-06-26 14:11:30,1
TXN-0000180,CMP-000075,ACC-000145,ACC-000149,3143.17,2026-06-26 19:08:30,2
TXN-0000181,CMP-000076,ACC-000638,ACC-000578,5825.3,2026-06-24 20:09:14,1
TXN-0000182,CMP-000077,ACC-001048,ACC-000140,881.32,2026-08-08 00:05:12,1
TXN-0000183,CMP-000077,ACC-000140,ACC-000064,814.72,2026-08-08 06:01:12,2
TXN-0000184,CMP-000078,ACC-000978,ACC-000698,17794.99,2026-07-22 04:08:16,1
TXN-0000185,CMP-000078,ACC-000698,ACC-000242,16407.85,2026-07-22 05:46:16,2
TXN-0000186,CMP-000078,ACC-000242,ACC-000053,16192.31,2026-07-22 11:05:16,3
TXN-0000187,CMP-000079,ACC-000266,ACC-000162,85556.21,2026-08-04 12:53:39,1
TXN-0000188,CMP-000079,ACC-000162,ACC-000066,80126.73,2026-08-04 17:39:39,2
TXN-0000189,CMP-000079,ACC-000066,ACC-000077,75540.05,2026-08-04 20:50:39,3
TXN-0000190,CMP-000079,ACC-000077,ACC-000107,73670.78,2026-08-05 01:31:39,4
TXN-0000191,CMP-000080,ACC-001044,ACC-000177,4359.95,2026-08-26 07:05:39,1
TXN-0000192,CMP-000081,ACC-000859,ACC-000073,3184.46,2026-07-28 04:18:20,1
TXN-0000193,CMP-000081,ACC-000073,ACC-000404,3040.74,2026-07-28 05:22:20,2
TXN-0000194,CMP-000081,ACC-000404,ACC-000186,2925.96,2026-07-28 10:25:20,3
TXN-0000195,CMP-000081,ACC-000186,ACC-000040,2808.84,2026-07-28 14:15:20,4
TXN-0000196,CMP-000082,ACC-000672,ACC-000096,4369.41,2026-08-22 22:40:39,1
TXN-0000197,CMP-000082,ACC-000096,ACC-000212,4169.83,2026-08-23 01:32:39,2
TXN-0000198,CMP-000082,ACC-000212,ACC-000106,4112.31,2026-08-23 06:02:39,3
TXN-0000199,CMP-000083,ACC-001081,ACC-000763,9244.42,2026-08-22 05:38:28,1
TXN-0000200,CMP-000083,ACC-000763,ACC-000148,9063.31,2026-08-22 10:23:28,2
TXN-0000201,CMP-000083,ACC-000148,ACC-000044,8898.68,2026-08-22 12:43:28,3
TXN-0000202,CMP-000084,ACC-000711,ACC-000753,3582.72,2026-06-04 17:39:46,1
TXN-0000203,CMP-000084,ACC-000753,ACC-000112,3348.92,2026-06-04 20:54:46,2
TXN-0000204,CMP-000084,ACC-000112,ACC-000010,3124.29,2026-06-05 02:25:46,3
TXN-0000205,CMP-000084,ACC-000010,ACC-000052,3049.02,2026-06-05 02:50:46,4
TXN-0000206,CMP-000085,ACC-000436,ACC-000014,32610.23,2026-06-26 01:07:36,1
TXN-0000207,CMP-000085,ACC-000014,ACC-000025,30153.0,2026-06-26 02:35:36,2
TXN-0000208,CMP-000085,ACC-000025,ACC-000767,29277.27,2026-06-26 03:27:36,3
TXN-0000209,CMP-000085,ACC-000767,ACC-000199,28252.68,2026-06-26 04:57:36,4
TXN-0000210,CMP-000086,ACC-000249,ACC-000004,7080.64,2026-07-25 04:38:15,1
TXN-0000211,CMP-000086,ACC-000004,ACC-000569,6609.77,2026-07-25 09:56:15,2
TXN-0000212,CMP-000086,ACC-000569,ACC-000996,6083.26,2026-07-25 13:33:15,3
TXN-0000213,CMP-000087,ACC-000854,ACC-000129,15286.39,2026-08-27 15:26:58,1
TXN-0000214,CMP-000087,ACC-000129,ACC-000187,14225.9,2026-08-27 17:17:58,2
TXN-0000215,CMP-000087,ACC-000187,ACC-000112,14007.95,2026-08-27 21:17:58,3
TXN-0000216,CMP-000088,ACC-000667,ACC-000175,1403.94,2026-07-24 17:16:12,1
TXN-0000217,CMP-000088,ACC-000175,ACC-000200,1381.38,2026-07-24 17:42:12,2
TXN-0000218,CMP-000088,ACC-000200,ACC-000151,1273.96,2026-07-24 18:56:12,3
TXN-0000219,CMP-000089,ACC-000540,ACC-000191,1390.83,2026-08-27 04:35:19,1
TXN-0000220,CMP-000089,ACC-000191,ACC-000005,1298.3,2026-08-27 07:54:19,2
TXN-0000221,CMP-000089,ACC-000005,ACC-000189,1195.65,2026-08-27 09:30:19,3
TXN-0000222,CMP-000089,ACC-000189,ACC-000033,1167.9,2026-08-27 14:01:19,4
TXN-0000223,CMP-000090,ACC-000309,ACC-000106,18817.65,2026-07-05 16:55:21,1
TXN-0000224,CMP-000091,ACC-000821,ACC-000179,5839.73,2026-08-15 15:46:09,1
TXN-0000225,CMP-000091,ACC-000179,ACC-000171,5715.92,2026-08-15 20:53:09,2
TXN-0000226,CMP-000091,ACC-000171,ACC-000178,5656.59,2026-08-15 23:57:09,3
TXN-0000227,CMP-000092,ACC-001011,ACC-000212,13066.69,2026-08-12 20:04:57,1
TXN-0000228,CMP-000092,ACC-000212,ACC-000032,12734.08,2026-08-13 01:07:57,2
TXN-0000229,CMP-000092,ACC-000032,ACC-000171,12407.39,2026-08-13 03:09:57,3
TXN-0000230,CMP-000094,ACC-000823,ACC-000676,119607.21,2026-06-03 11:21:23,1
TXN-0000231,CMP-000094,ACC-000676,ACC-000207,117775.0,2026-06-03 13:14:23,2
TXN-0000232,CMP-000096,ACC-000231,ACC-000209,105684.8,2026-08-18 14:17:10,1
TXN-0000233,CMP-000096,ACC-000209,ACC-000145,101774.21,2026-08-18 18:27:10,2
TXN-0000234,CMP-000096,ACC-000145,ACC-000168,95612.31,2026-08-18 19:57:10,3
TXN-0000235,CMP-000097,ACC-000829,ACC-000170,5556.6,2026-07-07 19:44:36,1
TXN-0000236,CMP-000097,ACC-000170,ACC-000200,5161.27,2026-07-07 22:13:36,2
TXN-0000237,CMP-000097,ACC-000200,ACC-000159,4872.07,2026-07-08 00:31:36,3
TXN-0000238,CMP-000098,ACC-000684,ACC-000003,3304.53,2026-08-19 07:40:52,1
TXN-0000239,CMP-000098,ACC-000003,ACC-000052,3069.01,2026-08-19 13:00:52,2
TXN-0000240,CMP-000098,ACC-000052,ACC-000182,3028.99,2026-08-19 17:53:52,3
TXN-0000241,CMP-000099,ACC-000303,ACC-000634,704.99,2026-08-24 15:33:35,1
TXN-0000242,CMP-000099,ACC-000634,ACC-000041,697.84,2026-08-24 18:48:35,2
TXN-0000243,CMP-000100,ACC-001165,ACC-000088,6292.98,2026-07-02 19:07:56,1
TXN-0000244,CMP-000100,ACC-000088,ACC-000193,5808.98,2026-07-02 19:42:56,2
TXN-0000245,CMP-000101,ACC-000244,ACC-000375,947.67,2026-07-05 01:30:35,1
TXN-0000246,CMP-000101,ACC-000375,ACC-000042,898.3,2026-07-05 02:21:35,2
TXN-0000247,CMP-000102,ACC-001116,ACC-000092,7014.67,2026-07-23 03:07:23,1
TXN-0000248,CMP-000102,ACC-000092,ACC-000011,6744.55,2026-07-23 04:07:23,2
TXN-0000249,CMP-000103,ACC-000992,ACC-000042,3173.77,2026-06-26 04:23:55,1
TXN-0000250,CMP-000103,ACC-000042,ACC-000216,2993.66,2026-06-26 04:52:55,2
TXN-0000251,CMP-000105,ACC-000742,ACC-000101,9261.01,2026-08-16 01:17:49,1
TXN-0000252,CMP-000105,ACC-000101,ACC-000004,8536.2,2026-08-16 06:11:49,2
TXN-0000253,CMP-000105,ACC-000004,ACC-000146,8171.01,2026-08-16 10:46:49,3
TXN-0000254,CMP-000105,ACC-000146,ACC-000186,7760.94,2026-08-16 14:30:49,4
TXN-0000255,CMP-000106,ACC-000225,ACC-000004,4704.96,2026-07-07 19:29:01,1
TXN-0000256,CMP-000107,ACC-000820,ACC-000121,844.34,2026-07-13 10:04:15,1
TXN-0000257,CMP-000107,ACC-000121,ACC-000199,781.46,2026-07-13 15:08:15,2
TXN-0000258,CMP-000107,ACC-000199,ACC-000048,764.38,2026-07-13 19:16:15,3
TXN-0000259,CMP-000107,ACC-000048,ACC-000169,755.66,2026-07-13 22:47:15,4
TXN-0000260,CMP-000110,ACC-000630,ACC-000055,8025.7,2026-07-16 11:55:33,1
TXN-0000261,CMP-000110,ACC-000055,ACC-000012,7758.1,2026-07-16 13:03:33,2
TXN-0000262,CMP-000110,ACC-000012,ACC-000355,7148.12,2026-07-16 18:43:33,3
TXN-0000263,CMP-000111,ACC-000422,ACC-000037,3026.83,2026-06-12 14:21:16,1
TXN-0000264,CMP-000111,ACC-000037,ACC-000005,2785.32,2026-06-12 16:33:16,2
TXN-0000265,CMP-000111,ACC-000005,ACC-000009,2575.32,2026-06-12 18:06:16,3
TXN-0000266,CMP-000111,ACC-000009,ACC-000155,2479.05,2026-06-12 18:30:16,4
TXN-0000267,CMP-000112,ACC-000247,ACC-000126,6857.6,2026-07-10 10:25:04,1
TXN-0000268,CMP-000112,ACC-000126,ACC-000350,6416.37,2026-07-10 11:03:04,2
TXN-0000269,CMP-000112,ACC-000350,ACC-000143,6100.24,2026-07-10 12:09:04,3
TXN-0000270,CMP-000113,ACC-000501,ACC-000149,64663.02,2026-06-19 05:13:47,1
TXN-0000271,CMP-000113,ACC-000149,ACC-000081,63801.6,2026-06-19 09:26:47,2
TXN-0000272,CMP-000113,ACC-000081,ACC-000093,59806.15,2026-06-19 11:00:47,3
TXN-0000273,CMP-000115,ACC-001006,ACC-000506,2315.7,2026-07-10 10:16:25,1
TXN-0000274,CMP-000115,ACC-000506,ACC-000129,2291.84,2026-07-10 14:09:25,2
TXN-0000275,CMP-000115,ACC-000129,ACC-000462,2222.64,2026-07-10 16:29:25,3
TXN-0000276,CMP-000116,ACC-000467,ACC-000019,2963.65,2026-07-09 21:38:31,1
TXN-0000277,CMP-000116,ACC-000019,ACC-001015,2901.7,2026-07-09 22:37:31,2
TXN-0000278,CMP-000116,ACC-001015,ACC-000169,2840.39,2026-07-10 04:20:31,3
TXN-0000279,CMP-000117,ACC-001190,ACC-000127,442.38,2026-07-13 12:00:33,1
TXN-0000280,CMP-000117,ACC-000127,ACC-000112,428.72,2026-07-13 17:19:33,2
TXN-0000281,CMP-000117,ACC-000112,ACC-000020,409.56,2026-07-13 22:23:33,3
TXN-0000282,CMP-000118,ACC-000768,ACC-000110,678.1,2026-08-27 14:01:48,1
TXN-0000283,CMP-000119,ACC-000733,ACC-000671,401714.93,2026-06-28 11:54:48,1
TXN-0000284,CMP-000120,ACC-000561,ACC-000010,807.04,2026-08-19 11:13:53,1
