atm_id,is_known_hotspot
ATM-00156,False
ATM-00197,False
ATM-00285,False
ATM-00060,True
ATM-00112,False
ATM-00166,False
ATM-00364,False
ATM-00007,True
ATM-00334,False
ATM-00276,False
ATM-00151,False
ATM-00011,True
ATM-00193,False
ATM-00104,False
ATM-00082,False
ATM-00317,False
ATM-00399,False
ATM-00376,False
ATM-00209,False
ATM-00287,False
ATM-00169,False
ATM-00354,False
ATM-00090,False
ATM-00378,False
ATM-00164,False
ATM-00148,False
ATM-00229,False
ATM-00093,False
ATM-00070,False
ATM-00124,False
ATM-00097,False
ATM-00144,False
ATM-00327,False
ATM-00098,False
ATM-00239,False
ATM-00069,False
ATM-00024,True
ATM-00038,True
ATM-00145,False
ATM-00123,False
ATM-00183,False
ATM-00068,True
ATM-00199,False
ATM-00325,False
ATM-00220,False
ATM-00318,False
ATM-00196,False
ATM-00126,False
ATM-00147,False
ATM-00372,False
ATM-00087,False
ATM-00337,False
ATM-00341,False
ATM-00338,False
ATM-00355,False
ATM-00335,False
ATM-00303,False
ATM-00184,False
ATM-00204,False
ATM-00284,False
ATM-00212,False
ATM-00283,False
ATM-00130,False
ATM-00039,True
ATM-00012,True
ATM-00326,False
ATM-00186,False
ATM-00223,False
ATM-00113,False
ATM-00180,False
ATM-00328,False
ATM-00300,False
ATM-00118,False
ATM-00369,False
ATM-00278,False
ATM-00385,False
ATM-00288,False
ATM-00363,False
ATM-00165,False
ATM-00254,False
ATM-00137,False
ATM-00155,False
ATM-00200,False
ATM-00198,False
ATM-00393,False
ATM-00003,True
ATM-00205,False
ATM-00116,False
ATM-00235,False
ATM-00238,False
ATM-00027,True
ATM-00121,False
ATM-00358,False
ATM-00225,False
ATM-00361,False
ATM-00379,False
ATM-00351,False
ATM-00380,False
ATM-00128,False
ATM-00075,False
ATM-00323,False
ATM-00030,True
ATM-00084,False
ATM-00390,False
ATM-00108,False
ATM-00250,False
ATM-00297,False
ATM-00134,False
ATM-00245,False
ATM-00185,False
ATM-00291,False
ATM-00045,True
ATM-00368,False
ATM-00066,True
ATM-00086,False
ATM-00243,False
ATM-00187,False
ATM-00160,False
ATM-00013,True
ATM-00036,True
ATM-00029,True
ATM-00171,False
ATM-00143,False
ATM-00319,False
ATM-00273,False
ATM-00222,False
ATM-00096,False
ATM-00052,True
ATM-00241,False
ATM-00299,False
ATM-00305,False
ATM-00179,False
ATM-00042,True
ATM-00311,False
ATM-00207,False
ATM-00255,False
ATM-00332,False
ATM-00005,True
ATM-00257,False
ATM-00359,False
ATM-00101,False
ATM-00227,False
ATM-00342,False
ATM-00214,False
ATM-00172,False
ATM-00099,False
ATM-00216,False
ATM-00062,True
ATM-00048,True
ATM-00033,True
ATM-00268,False
ATM-00201,False
ATM-00357,False
ATM-00028,True
ATM-00313,False
ATM-00231,False
ATM-00261,False
ATM-00289,False
ATM-00163,False
ATM-00371,False
ATM-00139,False
ATM-00063,True
ATM-00136,False
ATM-00129,False
ATM-00009,True
ATM-00065,True
ATM-00301,False
ATM-00015,True
ATM-00157,False
ATM-00041,True
ATM-00367,False
ATM-00324,False
ATM-00217,False
ATM-00280,False
ATM-00347,False
ATM-00237,False
ATM-00208,False
ATM-00213,False
ATM-00296,False
ATM-00365,False
ATM-00252,False
ATM-00391,False
ATM-00366,False
ATM-00304,False
ATM-00270,False
ATM-00202,False
ATM-00162,False
ATM-00044,True
ATM-00218,False
ATM-00191,False
ATM-00310,False
ATM-00260,False
ATM-00106,False
ATM-00054,True
ATM-00002,True
ATM-00050,True
ATM-00081,False
ATM-00206,False
ATM-00035,True
ATM-00264,False
ATM-00092,False
ATM-00340,False
ATM-00053,True
ATM-00346,False
ATM-00265,False
ATM-00242,False
ATM-00014,True
ATM-00316,False
ATM-00089,False
ATM-00274,False
ATM-00167,False
ATM-00329,False
ATM-00394,False
ATM-00135,False
ATM-00307,False
ATM-00384,False
ATM-00320,False
ATM-00244,False
ATM-00055,True
ATM-00051,True
ATM-00175,False
ATM-00190,False
ATM-00398,False
ATM-00188,False
ATM-00170,False
ATM-00059,True
ATM-00049,True
ATM-00345,False
ATM-00236,False
ATM-00253,False
ATM-00022,True
ATM-00314,False
ATM-00161,False
ATM-00277,False
ATM-00192,False
ATM-00294,False
ATM-00344,False
ATM-00258,False
ATM-00309,False
ATM-00150,False
ATM-00131,False
ATM-00152,False
ATM-00360,False
ATM-00100,False
ATM-00373,False
ATM-00088,False
ATM-00331,False
ATM-00215,False
ATM-00122,False
ATM-00400,False
ATM-00021,True
ATM-00189,False
ATM-00072,False
ATM-00107,False
ATM-00271,False
ATM-00349,False
ATM-00103,False
